country,prov_name,iso_alpha3,data_year,total_precipitation,spei_index,drought_status,year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
South Africa,Eastern Cape,ZAR,01/04/20,75.71577825,0.45259967,moderately wet,01/02/03,-0.6535708,-0.0630443,-0.4214808,-1.0727062,-1.256566,-1.1924788,-0.0991146,-0.5277207,-0.302075,79.1359942,92.362261,106.801839,125.114611,66.9926946,104.817372,85.5864945,38.5541474,15.5890208,0.41954485,-4.01523,-0.6201876,0.43108478,5.486973,3.6502228,-4.202883,-2.2891219,0.5087981,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/05/20,5.172528237,0.028899845,moderately wet,01/03/03,-0.4965713,-0.5134098,-0.8284383,-1.4839368,-1.3230493,-1.6986694,-0.6376733,-0.8787344,0.58383125,97.3667201,84.0727699,32.4121072,66.5242591,41.4029276,45.127156,36.2465935,23.5203163,82.0908496,0.24448337,-2.6861548,1.1834838,3.2397573,7.278998,6.611294,-1.3299717,-0.8261417,-0.1371018,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/06/20,2.5752556,-0.39745218,near normal,01/04/03,-0.4305826,-0.6991583,-1.3568759,-1.3118806,-1.5477796,-1.7991514,-1.0179924,-1.045505,0.14971308,47.5450671,23.2153468,10.4549376,42.2162955,5.97306913,16.6871797,14.9796972,18.4389206,21.1434015,-1.9286958,-2.729114,2.9898458,5.08342,7.34267,7.813218,-0.1883201,-1.0528598,-2.106315,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
South Africa,Eastern Cape,ZAR,01/07/20,3.954585036,-1.3551016,near normal,01/05/03,0.11386223,-0.7784585,-1.6496007,-1.0860658,-1.6768037,-1.9263364,-1.4962785,-1.1264162,0.29235825,46.8515151,15.9328472,1.73589737,40.8772368,4.35249786,12.9405252,4.18215554,12.1827182,42.3372004,-1.7186818,-1.1371115,4.245178,5.1181,6.9302473,7.053858,1.5287149,-0.2666388,-2.4843435,Near normal,Near normal,Severe drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
South Africa,Eastern Cape,ZAR,01/08/20,12.80950015,-0.80810034,near normal,01/06/03,-0.2082908,-1.2813048,-1.7167505,-0.4443532,-1.4410808,-1.1544024,-1.5575391,-1.4404534,-0.8047396,10.8996688,4.63346147,13.751247,34.3312169,23.3957145,16.7111086,5.84743432,0.1785871,6.74419119,1.0592686,0.4344396,4.603434,7.208109,4.886393,6.996957,2.9269452,2.2861557,0.8910801,Near normal,Moderate drought,Severe drought,Near normal,Moderate drought,Moderate drought,Severe drought,Moderate drought,Near normal
Botswana,Free State,BOT,01/06/19,0.600599328,0.50992703,near normal,01/07/03,-0.1018626,-0.7763261,-0.9256883,-0.032583,-0.2698515,-0.3107333,-0.8822331,-1.1695076,-0.8543404,5.93295418,0.44219621,1.89059703,9.90828662,1.65918497,3.41693473,0.29480655,0.76806573,13.2111472,2.5599902,0.977698,5.417319,6.601822,6.3360934,6.6448016,2.9393196,2.1014807,1.8257673,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal
Botswana,Free State,BOT,01/07/19,0.924510113,-2.1442337,near normal,01/08/03,-0.4964651,-0.2980685,0.1227995,0.03896354,0.1352948,0.08852173,-0.2605002,-0.1168037,-0.5720291,29.9873688,13.5845073,5.26365874,24.9646197,0.63243154,6.49522431,2.96446748,16.7400882,57.8444173,2.79374,-0.407656,2.0141802,7.4585857,5.4658194,6.095904,1.4552299,2.0400064,1.7519748,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/08/19,1.685584453,-3.0327706,severe,01/09/03,-0.3405047,-0.1427888,-0.4990657,-0.2903027,-0.5926412,-0.5206921,-0.3882689,0.5247097,0.02265514,35.7259781,18.3776983,7.53138063,49.7966734,10.423782,29.5374529,5.36991344,14.1812725,22.6910854,1.4768231,0.2713119,3.4390426,6.2381744,4.5997047,5.6385536,0.9487028,1.0227216,1.2958636,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/09/19,3.180085153,-3.3613524,severe,01/10/03,-0.4455022,-0.9229737,-0.7448715,-1.4674156,-0.6472835,-1.1762741,-0.5156377,0.6069463,0.5473554,49.1496483,26.2763151,63.80058,36.3142607,59.906724,58.389092,44.8691197,18.5897982,28.3696224,-0.3459132,-0.2205779,1.0957531,2.6694863,3.3916268,3.6005905,-0.0198266,0.7355414,1.4647954,Near normal,Near normal,Near normal,Moderate drought,Near normal,Moderate drought,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/10/19,3.950362653,-2.8242617,extreme,01/11/03,-1.101755,-0.8639686,-1.1662662,-1.4840138,-1.2276334,-1.2752163,-0.3200146,-0.1251012,-0.6588406,74.4150794,96.7333242,107.20866,139.45647,51.7042181,116.209306,84.7664509,37.6447755,16.1553893,-1.1618357,-1.6945046,-0.5828616,-2.538647,2.132577,1.0671641,-1.5083345,0.00874124,1.1109743,Moderate drought,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
