year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
01/04/03,-0.43058255,-0.69915825,-1.3568759,-1.3118806,-1.5477796,-1.7991514,-1.0179924,-1.045505,0.14971308,47.54506705,23.21534682,10.45493764,42.21629547,5.973069126,16.68717972,14.9796972,18.43892057,21.14340153,-1.9286958,-2.729114,2.9898458,5.08342,7.34267,7.813218,-0.18832013,-1.0528598,-2.106315,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
01/05/03,0.11386223,-0.7784585,-1.6496007,-1.0860658,-1.6768037,-1.9263364,-1.4962785,-1.1264162,0.29235825,46.8515151,15.93284724,1.735897374,40.87723683,4.352497855,12.94052524,4.18215554,12.18271817,42.33720042,-1.7186818,-1.1371115,4.245178,5.1181,6.9302473,7.053858,1.5287149,-0.2666388,-2.4843435,Near normal,Near normal,Severe drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
01/06/03,-0.20829083,-1.2813048,-1.7167505,-0.44435322,-1.4410808,-1.1544024,-1.5575391,-1.4404534,-0.8047396,10.89966875,4.633461473,13.75124697,34.3312169,23.39571445,16.71110856,5.847434317,0.178587105,6.744191187,1.0592686,0.4344396,4.603434,7.208109,4.886393,6.996957,2.9269452,2.2861557,0.8910801,Near normal,Moderate drought,Severe drought,Near normal,Moderate drought,Moderate drought,Severe drought,Moderate drought,Near normal
01/07/03,-0.10186255,-0.77632606,-0.9256883,-0.03258296,-0.2698515,-0.3107333,-0.8822331,-1.1695076,-0.85434043,5.932954175,0.442196214,1.890597033,9.908286623,1.659184974,3.416934729,0.29480655,0.768065732,13.21114723,2.5599902,0.977698,5.417319,6.601822,6.3360934,6.6448016,2.9393196,2.1014807,1.8257673,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal
01/08/03,-0.4964651,-0.2980685,0.1227995,0.038963538,0.1352948,0.088521734,-0.26050016,-0.11680369,-0.57202905,29.9873688,13.58450733,5.263658735,24.96461967,0.632431535,6.495224312,2.964467484,16.74008823,57.84441725,2.79374,-0.407656,2.0141802,7.4585857,5.4658194,6.095904,1.4552299,2.0400064,1.7519748,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/09/03,-0.34050465,-0.1427888,-0.49906567,-0.2903027,-0.5926412,-0.5206921,-0.38826886,0.5247097,0.022655135,35.72597808,18.37769832,7.53138063,49.79667344,10.42378196,29.53745294,5.369913441,14.18127253,22.69108543,1.4768231,0.2713119,3.4390426,6.2381744,4.5997047,5.6385536,0.9487028,1.0227216,1.2958636,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/10/03,-0.44550222,-0.9229737,-0.7448715,-1.4674156,-0.6472835,-1.1762741,-0.5156377,0.6069463,0.5473554,49.14964833,26.27631513,63.80058002,36.31426071,59.906724,58.38909202,44.86911967,18.58979819,28.36962236,-0.34591317,-0.2205779,1.0957531,2.6694863,3.3916268,3.6005905,-0.019826582,0.7355414,1.4647954,Near normal,Near normal,Near normal,Moderate drought,Near normal,Moderate drought,Near normal,Near normal,Near normal
01/11/03,-1.101755,-0.86396855,-1.1662662,-1.4840138,-1.2276334,-1.2752163,-0.32001463,-0.12510122,-0.6588406,74.41507942,96.73332424,107.2086599,139.4564704,51.7042181,116.209306,84.76645091,37.64477552,16.15538934,-1.1618357,-1.6945046,-0.5828616,-2.538647,2.132577,1.0671641,-1.5083345,0.008741236,1.1109743,Moderate drought,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
01/12/03,-1.0869882,-1.3944463,-1.6362835,-2.04746,-1.4307393,-1.875617,-1.0113313,-0.5909285,-0.5313468,55.89272208,68.05229431,73.56320106,91.95253536,65.77430812,89.23085311,49.85734119,8.758810801,19.40832828,1.9167843,-0.18245742,-0.007147559,1.1166703,3.641999,2.7419434,-0.15765622,1.0599145,1.7837121,Moderate drought,Moderate drought,Severe drought,Extreme drought,Moderate drought,Severe drought,Moderate drought,Near normal,Near normal
01/01/04,-0.33730417,-0.76346415,-1.2667413,-0.6393257,-0.9803277,-1.0524514,-0.59513086,0.07913923,-0.3594708,121.4766288,113.1372234,130.8690939,168.8873098,95.6334322,165.2734282,89.72182192,70.63453899,29.29810637,1.9783748,-0.55774564,0.1410654,2.0035267,1.4905111,1.584827,-1.158045,-0.13118985,1.9403294,Near normal,Near normal,Moderate drought,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
01/02/04,0.2049601,-0.6370087,0.045842346,-0.003653978,0.012902799,0.059757385,-0.37197816,0.035202976,0.07580938,99.82059497,92.49801452,143.4215547,177.9811676,99.70009453,173.4094877,85.08238847,35.36245589,29.17231495,-0.17894049,-1.3011104,-0.109929256,-0.46051398,2.6400821,0.5984722,-0.33619288,-0.39914474,2.1584945,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/03/04,0.52086145,0.24782518,1.0564814,0.65988094,1.0607142,1.0133662,0.30499932,0.18504992,0.1879677,85.11782806,105.390744,140.3831786,119.5738287,94.04392268,132.3900328,119.5885497,33.20232951,18.77004351,-2.5549693,-1.170302,-3.1665928,-3.1168172,0.33710158,0.47288704,-0.21880656,-1.0905216,0.018188154,Near normal,Near normal,Moderately wet,Near normal,Moderately wet,Moderately wet,Near normal,Near normal,Near normal
01/04/04,0.21465936,0.33413914,1.1778704,0.20744926,1.3051927,0.9998395,0.27817214,0.038245197,0.47550786,59.97492272,43.57085299,22.96892402,27.7838682,27.30299903,41.57882446,40.93489298,55.62565532,59.71586682,-3.7159612,-3.3097363,-1.4372058,-1.3209614,-2.8100057,-2.7475042,-0.780379,-2.4759905,-1.7057326,Near normal,Near normal,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal
